id:ID,name,type:LABEL
A5D8V6,Vacuolar protein sorting-associated protein 37C,Protein
A5D8V7,Outer dynein arm-docking complex subunit 3,Protein
616037,"Ciliary dyskinesia, primary, 30",Disease
A5D8W1,Cilia- and flagella-associated protein 69,Protein
617959,Spermatogenic failure 24,Disease
A5LHX3,Proteasome subunit beta type-11,Protein
A5PKW4,PH and SEC7 domain-containing protein 1,Protein
A5PLL7,Plasmanylethanolamine desaturase 1,Protein
A5X5Y0,5-hydroxytryptamine receptor 3E,Protein
DB00246,Ziprasidone,Drug
A5YKK6,CCR4-NOT transcription complex subunit 1,Protein
618500,Holoprosencephaly 12 with or without pancreatic agenesis,Disease
619033,Vissers-Bodmer syndrome,Disease
A5YM72,Carnosine synthase 1,Protein
A6BM72,Multiple epidermal growth factor-like domains protein 11,Protein
A6H8Y1,Transcription factor TFIIIB component B'' homolog,Protein
618257,"Deafness, autosomal recessive, 112",Disease
A6H8Z2,Protein FAM221B,Protein
A6NC98,Coiled-coil domain-containing protein 88B,Protein
A6NCS4,Homeobox protein Nkx-2.6,Protein
217095,Conotruncal heart malformations,Disease
A6ND01,Sperm-egg fusion protein Juno,Protein
A6ND36,Protein FAM83G,Protein
A6NDB9,Paralemmin-3,Protein
A6NDE4,"RNA-binding motif protein, Y chromosome, family 1 member B",Protein
A6NDG6,Glycerol-3-phosphate phosphatase-dependent phosphatase),Protein
A6NDV4,Transmembrane protein 8B,Protein
A6NED2,RCC1 domain-containing protein 1,Protein
A6NEM1,Golgin subfamily A member 6-like protein 9,Protein
A6NFA1,Metalloprotease TIKI2,Protein
A6NFQ2,TRPM8 channel-associated factor 2,Protein
A6NFX1,Sphingosine-1-phosphate transporter MFSD2B,Protein
A6NFY7,"Succinate dehydrogenase assembly factor 1, mitochondrial",Protein
619166,"Mitochondrial complex II deficiency, nuclear type 2",Disease
A6NGG8,Photoreceptor cilium actin regulator,Protein
613428,Retinitis pigmentosa 54,Disease
A6NGQ2,Oocyte-expressed protein homolog,Protein
A6NGU5,Putative glutathione hydrolase 3 proenzyme [Cleaved into: Putative glutathione hydrolase 3 heavy chain; Putative glutathione hydrolase 3 light chain],Protein
A6NHL2,Tubulin alpha chain-like 3,Protein
A6NHR9,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,Protein
158901,"Facioscapulohumeral muscular dystrophy 2, digenic",Disease
603457,Bosma arhinia microphthalmia syndrome,Disease
A6NHX0,Cytosolic arginine sensor for mTORC1 subunit 2,Protein
A6NI15,Mesogenin-1,Protein
A6NI61,Protein myomaker,Protein
254940,Carey-Fineman-Ziter syndrome 1,Disease
A6NI73,Leukocyte immunoglobulin-like receptor subfamily A member 5,Protein
A6NIH7,Protein unc-119 homolog B,Protein
A6NIX2,Wilms tumor protein 1-interacting protein,Protein
A6NJ46,Homeobox protein Nkx-6.3,Protein
A6NJ78,12S rRNA N-cytidine methyltransferase METTL15,Protein
A6NK06,Cis-aconitate decarboxylase,Protein
A6NK58,"Octanoyl-[acyl-carrier-protein]:protein N-octanoyltransferase LIPT2, mitochondrial",Protein
617668,"Encephalopathy, neonatal severe, with lactic acidosis and brain abnormalities",Disease
A6NK89,Ras association domain-containing protein 10,Protein
A6NKB5,Pecanex-like protein 2,Protein
A6NMZ7,Collagen alpha-6 chain,Protein
A6NNB3,Interferon-induced transmembrane protein 5,Protein
610967,Osteogenesis imperfecta 5,Disease
A6NNM8,Tubulin polyglutamylase TTLL13,Protein
A6NNN8,Solute carrier family 38 member 8,Protein
609218,Foveal hypoplasia 2,Disease
A6NNY8,Ubiquitin carboxyl-terminal hydrolase 27,Protein
300984,"Intellectual developmental disorder, X-linked 105",Disease
A6NNZ2,Tubulin beta 8B,Protein
A6PVC2,Protein monoglycylase TTLL8,Protein
A7E2V4,Zinc finger SWIM domain-containing protein 8,Protein
A7E2Y1,Myosin-7B,Protein
A7KAX9,Rho GTPase-activating protein 32,Protein
A7MCY6,TANK-binding kinase 1-binding protein 1,Protein
A7MD48,Serine/arginine repetitive matrix protein 4,Protein
A7XYQ1,Sine oculis-binding protein homolog,Protein
613671,"Impaired intellectual development, anterior maxillary protrusion, and strabismus",Disease
A8CG34,Nuclear envelope pore membrane protein POM 121C,Protein
A8K0Z3,WASH complex subunit 1,Protein
A8K2U0,Alpha-2-macroglobulin-like protein 1,Protein
166760,Otitis media,Disease
A8K4G0,CMRF35-like molecule 7,Protein
A8K7I4,Calcium-activated chloride channel regulator 1,Protein
A8K830,POU class 2 homeobox associating factor 3,Protein
A8K8P3,Protein SFI1 homolog,Protein
A8K8V0,Zinc finger protein 785,Protein
A8MPY1,Gamma-aminobutyric acid receptor subunit rho-3 receptor subunit rho-3) receptor),Protein
DB01567,Fludiazepam,Drug
DB16754,TPMPA,Drug
A8MQ03,Cysteine-rich tail protein 1,Protein
A8MQ27,E3 ubiquitin-protein ligase NEURL1B,Protein
A8MT69,Centromere protein X,Protein
A8MTA8,Ciliary microtubule inner protein 2B,Protein
A8MTJ3,Guanine nucleotide-binding protein G subunit alpha-3,Protein
A8MTJ6,Forkhead box protein I3,Protein
620444,Craniofacial microsomia 2,Disease
A8MTQ0,Homeobox protein notochord,Protein
A8MTZ0,BBSome-interacting protein 1,Protein
615995,Bardet-Biedl syndrome 18,Disease
A8MU46,Smoothelin-like protein 1,Protein
A8MUP2,"Citrate synthase-lysine N-methyltransferase CSKMT, mitochondrial",Protein
A8MV65,Transcription cofactor vestigial-like protein 3,Protein
A8MVW5,HEPACAM family member 2,Protein
A8MW92,PHD finger protein 20-like protein 1,Protein
A8MW95,Beclin-2,Protein
A8MW99,Meiosis-specific protein MEI4,Protein
A8MXD5,Glutaredoxin domain-containing cysteine-rich protein 1,Protein
613285,"Deafness, autosomal recessive, 25",Disease
A8MXV4,Acyl-coenzyme A diphosphatase NUDT19,Protein
A8MYU2,Potassium channel subfamily U member 1,Protein
620196,Spermatogenic failure 79,Disease
A8MZ59,Paired-like homeodomain transcription factor LEUTX,Protein
A8TX70,Collagen alpha-5 chain chain),Protein
A9QM74,Importin subunit alpha-8,Protein
620319,Oocyte/zygote/embryo maturation arrest 17,Disease
A9UHW6,MIF4G domain-containing protein,Protein
A9YTQ3,Aryl hydrocarbon receptor repressor,Protein
B0I1T2,Unconventional myosin-Ig [Cleaved into: Minor histocompatibility antigen HA-2],Protein
B0L3A2,Dual endothelin-1/VEGF signal peptide receptor,Protein
B0YJ81,Very-long-chain-3-hydroxyacyl-CoA dehydratase 1,Protein
619967,Congenital myopathy 11,Disease
B1AK53,Espin,Protein
609006,"Deafness, autosomal recessive, 36, with or without vestibular involvement",Disease
618632,Usher syndrome 1M,Disease
B2RTY4,Unconventional myosin-IXa,Protein
618198,"Myasthenic syndrome, congenital, 24, presynaptic",Disease
B2RUY7,von Willebrand factor C domain-containing protein 2-like,Protein
B2RUZ4,Small integral membrane protein 1,Protein
B2RXF5,Zinc finger and BTB domain-containing protein 42,Protein
616248,Lethal congenital contracture syndrome 6,Disease
B2RXH2,Lysine-specific demethylase 4E demethylase 4E),Protein
B3KU38,IQCJ-SCHIP1 readthrough transcript protein,Protein
B6A8C7,"T-cell-interacting, activating receptor on myeloid cells protein 1",Protein
B7U540,Inward rectifier potassium channel 18 channel Kir2.6),Protein
613239,Thyrotoxic periodic paralysis 2,Disease
B7ZAQ6,Golgi pH regulator A,Protein
C4AMC7,Putative WAS protein family homolog 3,Protein
C9JE40,Protein PAT1 homolog 2,Protein
617743,Oocyte/zygote/embryo maturation arrest 4,Disease
C9JLW8,Mapk-regulated corepressor-interacting protein 1,Protein
C9JR72,Kelch repeat and BTB domain-containing protein 13,Protein
609273,Nemaline myopathy 6,Disease
C9JRZ8,Aldo-keto reductase family 1 member B15,Protein
D3W0D1,Killer cell lectin-like receptor subfamily F member 2,Protein
D6RGH6,Multicilin,Protein
618695,"Ciliary dyskinesia, primary, 42",Disease
E0CX11,Short transmembrane mitochondrial protein 1,Protein
F5H094,SLCO1B3-SLCO1B7 readthrough transcript protein,Protein
G2XKQ0,Small ubiquitin-related modifier 5,Protein
H0YL14,Transmembrane protein 250,Protein
H3BV60,Transforming growth factor-beta receptor type 3-like protein,Protein
K7EJ46,Small integral membrane protein 22,Protein
K9M1U5,Interferon lambda-4,Protein
L0R8F8,Mitochondrial ribosome and complex I assembly factor AltMIEF1,Protein
M0R2J8,Doublecortin domain-containing protein 1,Protein
O00115,Deoxyribonuclease-2-alpha,Protein
619858,Autoinflammatory-pancytopenia syndrome,Disease
O00116,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",Protein
600121,Rhizomelic chondrodysplasia punctata 3,Disease
O00124,UBX domain-containing protein 8,Protein
O00139,Kinesin-like protein KIF2A,Protein
615411,"Cortical dysplasia, complex, with other brain malformations 3",Disease
O00141,Serine/threonine-protein kinase Sgk1,Protein
O00142,"Thymidine kinase 2, mitochondrial",Protein
609560,Mitochondrial DNA depletion syndrome 2,Disease
617069,"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 3",Disease
DB03312,Brivudine,Drug
DB00441,Gemcitabine,Drug
DB04485,Thymidine,Drug
O00144,Frizzled-9,Protein
O00148,ATP-dependent RNA helicase DDX39A,Protein
O00151,PDZ and LIM domain protein 1,Protein
O00154,Cytosolic acyl coenzyme A thioester hydrolase,Protein
O00155,Probable G-protein coupled receptor 25,Protein
O00159,Unconventional myosin-Ic,Protein
O00160,Unconventional myosin-If,Protein
O00161,Synaptosomal-associated protein 23,Protein
O00165,HCLS1-associated protein X-1,Protein
610738,"Neutropenia, severe congenital 3, autosomal recessive",Disease
O00167,Eyes absent homolog 2,Protein
O00168,Phospholemman,Protein
O00170,AH receptor-interacting protein,Protein
102200,"Pituitary adenoma 1, multiple types",Disease
O00175,C-C motif chemokine 24,Protein
O00178,GTP-binding protein 1,Protein
O00180,Potassium channel subfamily K member 1,Protein
DB00308,Ibutilide,Drug
DB00908,Quinidine,Drug
DB01346,Quinidine barbiturate,Drug
O00182,Galectin-9,Protein
O00186,Syntaxin-binding protein 3,Protein
O00187,Mannan-binding lectin serine protease 2 [Cleaved into: Mannan-binding lectin serine protease 2 A chain; Mannan-binding lectin serine protease 2 B chain],Protein
613791,MASP2 deficiency,Disease
DB16418,Narsoplimab,Drug
O00189,AP-4 complex subunit mu-1,Protein
612936,"Spastic paraplegia 50, autosomal recessive",Disease
O00192,Splicing regulator ARVCF,Protein
O00194,Ras-related protein Rab-27B,Protein
O00198,Activator of apoptosis harakiri,Protein
O00203,AP-3 complex subunit beta-1,Protein
608233,Hermansky-Pudlak syndrome 2,Disease
O00204,Sulfotransferase 2B1,Protein
617571,"Ichthyosis, congenital, autosomal recessive 14",Disease
DB01708,Prasterone,Drug
O00206,Toll-like receptor 4,Protein
DB00924,Cyclobenzaprine,Drug
DB13615,Mifamurtide,Drug
DB01183,Naloxone,Drug
DB11193,Papain,Drug
O00212,Rho-related GTP-binding protein RhoD,Protein
O00213,Amyloid beta precursor protein binding family B member 1,Protein
O00214,Galectin-8,Protein
O00217,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",Protein
618222,"Mitochondrial complex I deficiency, nuclear type 2",Disease
O00219,Hyaluronan synthase 3,Protein
O00220,Tumor necrosis factor receptor superfamily member 10A,Protein
O00221,NF-kappa-B inhibitor epsilon,Protein
O00222,Metabotropic glutamate receptor 8,Protein
O00231,26S proteasome non-ATPase regulatory subunit 11,Protein
O00232,26S proteasome non-ATPase regulatory subunit 12,Protein
617516,Stankiewicz-Isidor syndrome,Disease
O00233,26S proteasome non-ATPase regulatory subunit 9,Protein
O00237,E3 ubiquitin-protein ligase RNF103,Protein
O00238,Bone morphogenetic protein receptor type-1B,Protein
609441,Acromesomelic dysplasia 3,Disease
112600,Brachydactyly A2,Disease
616849,"Brachydactyly A1, D",Disease
DB12010,Fostamatinib,Drug
O00241,Signal-regulatory protein beta-1,Protein
O00244,Copper transport protein ATOX1,Protein
DB09130,Copper,Drug
O00253,Agouti-related protein,Protein
601665,Obesity,Disease
O00254,Proteinase-activated receptor 3,Protein
O00255,Menin,Protein
131100,Familial multiple endocrine neoplasia type I,Disease
O00257,E3 SUMO-protein ligase CBX4,Protein
O00258,Guided entry of tail-anchored proteins factor 1,Protein
O00264,Membrane-associated progesterone receptor component 1,Protein
DB00514,Dextromethorphan,Drug
O00267,Transcription elongation factor SPT5,Protein
O00268,Transcription initiation factor TFIID subunit 4130)135),Protein
620450,"Intellectual developmental disorder, autosomal dominant 73",Disease
O00270,"12--hydroxy-5,8,10,14-eicosatetraenoic acid receptor-HETE receptor)",Protein
O00273,DNA fragmentation factor subunit alpha,Protein
O00287,Regulatory factor X-associated protein,Protein
620817,MHC class II deficiency 4,Disease
O00291,Huntingtin-interacting protein 1,Protein
O00292,Left-right determination factor 2,Protein
601877,Left-right axis malformations,Disease
O00294,Tubby-related protein 1,Protein
600132,Retinitis pigmentosa 14,Disease
613843,Leber congenital amaurosis 15,Disease
O00299,Chloride intracellular channel protein 1,Protein
DB11638,Artenimol,Drug
O00300,Tumor necrosis factor receptor superfamily member 11B,Protein
239000,"Paget disease of bone 5, juvenile-onset",Disease
O00303,Eukaryotic translation initiation factor 3 subunit F,Protein
618295,"Intellectual developmental disorder, autosomal recessive 67",Disease
O00305,Voltage-dependent L-type calcium channel subunit beta-4,Protein
607682,"Epilepsy, idiopathic generalized 9",Disease
613855,Episodic ataxia 5,Disease
DB01118,Amiodarone,Drug
DB04855,Dronedarone,Drug
DB09235,Efonidipine,Drug
DB13961,Fish oil,Drug
DB01388,Mibefradil,Drug
DB01110,Miconazole,Drug
DB06712,Nilvadipine,Drug
DB00393,Nimodipine,Drug
DB00243,Ranolazine,Drug
DB00273,Topiramate,Drug
O00308,NEDD4-like E3 ubiquitin-protein ligase WWP2,Protein
O00311,Cell division cycle 7-related protein kinase,Protein
O00322,Uroplakin-1a,Protein
O00327,Basic helix-loop-helix ARNT-like protein 1,Protein
O00329,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",Protein
615513,"Immunodeficiency 14A with lymphoproliferation, autosomal dominant",Disease
619281,"Immunodeficiency 14B, autosomal recessive",Disease
613328,Roifman-Chitayat syndrome,Disease
DB00201,Caffeine,Drug
DB12483,Copanlisib,Drug
DB11952,Duvelisib,Drug
DB09054,Idelalisib,Drug
DB16217,Leniolisib,Drug
DB05552,TG100-115,Drug
DB14989,Umbralisib,Drug
O00330,"Pyruvate dehydrogenase protein X component, mitochondrial",Protein
245349,Pyruvate dehydrogenase E3-binding protein deficiency,Disease
O00337,Sodium/nucleoside cotransporter 1/nucleoside cotransporter 1),Protein
618477,Uridine-cytidineuria,Disease
DB00640,Adenosine,Drug
DB01262,Decitabine,Drug
DB09327,Tegafur-uracil,Drug
DB00432,Trifluridine,Drug
O00338,Sulfotransferase 1C2,Protein
DB09100,Thyroid. porcine,Drug
O00339,Matrilin-2,Protein
O00341,Excitatory amino acid transporter 5,Protein
O00358,Forkhead box protein E1,Protein
241850,Bamforth-Lazarus syndrome,Disease
616534,"Thyroid cancer, non-medullary, 4",Disease
O00370,LINE-1 retrotransposable element ORF2 protein [Includes: Reverse transcriptase; Endonuclease],Protein
O00391,Sulfhydryl oxidase 1,Protein
O00399,Dynactin subunit 6,Protein
O00400,Acetyl-coenzyme A transporter 1,Protein
612539,"Spastic paraplegia 42, autosomal dominant",Disease
614482,Huppke-Brendel syndrome,Disease
O00401,Actin nucleation-promoting factor WASL,Protein
O00408,"cGMP-dependent 3',5'-cyclic phosphodiesterase",Protein
619150,Intellectual developmental disorder with paroxysmal dyskinesia or seizures,Disease
DB09273,Doxofylline,Drug
DB08811,Tofisopam,Drug
O00409,Forkhead box protein N3,Protein
O00410,Importin-5,Protein
O00411,"DNA-directed RNA polymerase, mitochondrial",Protein
619743,Combined oxidative phosphorylation deficiency 55,Disease
O00418,Eukaryotic elongation factor 2 kinase,Protein
O00421,C-C chemokine receptor-like 2,Protein
O00422,Histone deacetylase complex subunit SAP18,Protein
O00423,Echinoderm microtubule-associated protein-like 1,Protein
600348,Band heterotopia,Disease
O00425,Insulin-like growth factor 2 mRNA-binding protein 3,Protein
O00429,Dynamin-1-like protein,Protein
614388,Encephalopathy due to defective mitochondrial and peroxisomal fission 1,Disease
610708,Optic atrophy 5,Disease
O00442,RNA 3'-terminal phosphate cyclase,Protein
O00443,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,Protein
618440,Oculoskeletodental syndrome,Disease
O00444,Serine/threonine-protein kinase PLK4,Protein
616171,"Microcephaly and chorioretinopathy, autosomal recessive, 2",Disease
O00445,Synaptotagmin-5,Protein
O00451,GDNF family receptor alpha-2,Protein
O00453,Leukocyte-specific transcript 1 protein,Protein
O00459,Phosphatidylinositol 3-kinase regulatory subunit beta,Protein
603387,Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 1,Disease
O00461,Golgi integral membrane protein 4,Protein
O00462,Beta-mannosidase,Protein
248510,"Mannosidosis, beta A, lysosomal",Disease
O00463,TNF receptor-associated factor 5,Protein
O00468,Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment; Agrin C-terminal 22 kDa fragment],Protein
615120,"Myasthenic syndrome, congenital, 8",Disease
O00469,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",Protein
609220,Bruck syndrome 2,Disease
DB00126,Ascorbic acid,Drug
O00470,Homeobox protein Meis1,Protein
612853,Restless legs syndrome 7,Disease
O00471,Exocyst complex component 5,Protein
O00472,RNA polymerase II elongation factor ELL2,Protein
O00476,Sodium-dependent phosphate transport protein 4/PI cotransporter 4),Protein
O00478,Butyrophilin subfamily 3 member A3,Protein
O00481,Butyrophilin subfamily 3 member A1,Protein
O00482,Nuclear receptor subfamily 5 group A member 2,Protein
O00483,Cytochrome c oxidase subunit NDUFA4,Protein
619065,"Mitochondrial complex IV deficiency, nuclear type 21",Disease
O00487,26S proteasome non-ATPase regulatory subunit 14,Protein
O00488,Zinc finger protein 593,Protein
O00499,Myc box-dependent-interacting protein 1,Protein
255200,"Myopathy, centronuclear, 2",Disease
O00501,Claudin-5,Protein
O00505,Importin subunit alpha-4,Protein
620106,"Spastic paraplegia 88, autosomal dominant",Disease
O00506,Serine/threonine-protein kinase 25,Protein
O00507,Ubiquitin carboxyl-terminal hydrolase 9Y,Protein
415000,Spermatogenic failure Y-linked 2,Disease
O00512,B-cell CLL/lymphoma 9 protein,Protein
O00519,Fatty-acid amide hydrolase 1,Protein
DB00316,Acetaminophen,Drug
DB09061,Cannabidiol,Drug
DB14009,Medical Cannabis,Drug
DB14011,Nabiximols,Drug
DB00818,Propofol,Drug
DB00599,Thiopental,Drug
O00522,Krev interaction trapped protein 1,Protein
116860,Cerebral cavernous malformations 1,Disease
O00526,Uroplakin-2,Protein
O00533,Neural cell adhesion molecule L1-like protein [Cleaved into: Processed neural cell adhesion molecule L1-like protein],Protein
O00541,Pescadillo homolog,Protein
O00548,Delta-like protein 1,Protein
618709,Neurodevelopmental disorder with non-specific brain abnormalities and with or without seizures,Disease
O00555,Voltage-dependent P/Q-type calcium channel subunit alpha-1A,Protein
183086,Spinocerebellar ataxia 6,Disease
141500,"Migraine, familial hemiplegic, 1",Disease
108500,Episodic ataxia 2,Disease
617106,Developmental and epileptic encephalopathy 42,Disease
DB09231,Benidipine,Drug
DB01244,Bepridil,Drug
DB13746,Bioallethrin,Drug
DB11093,Calcium citrate,Drug
DB11348,Calcium Phosphate,Drug
DB09232,Cilnidipine,Drug
DB06751,Drotaverine,Drug
DB09236,Lacidipine,Drug
DB00825,Levomenthol,Drug
DB00836,Loperamide,Drug
DB00653,Magnesium sulfate,Drug
DB09238,Manidipine,Drug
DB01054,Nitrendipine,Drug
DB00252,Phenytoin,Drug
DB00421,Spironolactone,Drug
DB09089,Trimebutine,Drug
DB00661,Verapamil,Drug
DB06283,Ziconotide,Drug
O00559,Receptor-binding cancer antigen expressed on SiSo cells,Protein
O00560,Syntenin-1,Protein
O00562,Membrane-associated phosphatidylinositol transfer protein 1,Protein
O00566,U3 small nucleolar ribonucleoprotein protein MPP10,Protein
O00567,Nucleolar protein 56,Protein
614153,Spinocerebellar ataxia 36,Disease
O00571,ATP-dependent RNA helicase DDX3X,Protein
300958,"Intellectual developmental disorder, X-linked, syndromic, Snijders Blok type",Disease
O00574,C-X-C chemokine receptor type 6,Protein
O00584,Ribonuclease T2,Protein
612951,"Leukoencephalopathy, cystic, without megalencephaly",Disease
O00585,C-C motif chemokine 21,Protein
O00587,"Beta-1,3-N-acetylglucosaminyltransferase manic fringe",Protein
O00590,Atypical chemokine receptor 2,Protein
O00591,Gamma-aminobutyric acid receptor subunit pi receptor subunit pi),Protein
O00592,Podocalyxin,Protein
O00602,Ficolin-1,Protein
O00622,CCN family member 1,Protein
O00623,Peroxisome assembly protein 12,Protein
614859,Peroxisome biogenesis disorder complementation group 3,Disease
266510,Peroxisome biogenesis disorder 3B,Disease
O00624,Sodium-dependent phosphate transport protein 3/PI cotransporter 3),Protein
O00625,Pirin,Protein
O00626,C-C motif chemokine 22) [Cleaved into: MDC; MDC; MDC],Protein
O00628,Peroxisomal targeting signal 2 receptor,Protein
614879,Peroxisome biogenesis disorder complementation group 11,Disease
215100,Rhizomelic chondrodysplasia punctata 1,Disease
O00629,Importin subunit alpha-3,Protein
O00631,Sarcolipin,Protein
O00635,E3 ubiquitin-protein ligase TRIM38,Protein
O00712,Nuclear factor 1 B-type,Protein
618286,"Macrocephaly, acquired, with impaired intellectual development",Disease
O00716,Transcription factor E2F3,Protein
O00743,"Serine/threonine-protein phosphatase 6 catalytic subunit [Cleaved into: Serine/threonine-protein phosphatase 6 catalytic subunit, N-terminally processed]",Protein
O00744,Protein Wnt-10b,Protein
225300,Split-hand/foot malformation 6,Disease
617073,"Tooth agenesis, selective, 8",Disease
O00746,"Nucleoside diphosphate kinase, mitochondrial",Protein
O00748,Cocaine esterase,Protein
DB06695,Dabigatran etexilate,Drug
DB16650,Deucravacitinib,Drug
DB14845,Filgotinib,Drug
DB00762,Irinotecan,Drug
DB06209,Prasugrel,Drug
DB00641,Simvastatin,Drug
DB12095,Telotristat ethyl,Drug
DB16349,Vicagrel,Drug
O00750,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta,Protein
O00754,Lysosomal alpha-mannosidase [Cleaved into: Lysosomal alpha-mannosidase A peptide; Lysosomal alpha-mannosidase B peptide; Lysosomal alpha-mannosidase C peptide; Lysosomal alpha-mannosidase D peptide; Lysosomal alpha-mannosidase E peptide],Protein
248500,"Mannosidosis, alpha B, lysosomal",Disease
O00755,Protein Wnt-7a,Protein
276820,Limb pelvis hypoplasia aplasia syndrome,Disease
228930,Fuhrmann syndrome,Disease
O00757,"Fructose-1,6-bisphosphatase isozyme 2",Protein
619864,"Leukodystrophy, childhood-onset, remitting",Disease
